Брат крестный	сын крестного отца
Золовка, золовища, золова	сестра мужа, иногда жена брата
Зять	муж дочери, сестры
Колено	разветвление рода, поколение в родословной
Крестная мать	участница обряда крещения в роли духовной матери
Крестник	крестный сын
Крестница	крестная дочь
Крестный отец	участник обряда крещения в роли духовного отца
Кровное родство	происхождение от одних родителей
Кровный	о родстве в пределах одной семьи
Кузен	двоюродный брат
Кузина	двоюродная сестра
Кум	крестный отец по отношению к родителям крестника и к крестной матери
Кума	крестная мать по отношению к родителям крестника и к крестному отцу
Малая тетка	сестра отца или матери (двоюродная тетка)
Малый дядя	брат отца или матери
Мать	женщина по отношению к своим детям
Мать крестная, крестовая	восприемница при обряде крещения
Мать названая	мать приемышу, воспитаннику
Мать молочная	мамка, кормилица
Мать посаженная	женщина, заменяющая на свадьбе родную мать жениха
Мачеха	неродная мать, другая жена отца по отношению к его детям от прежнего брака
Молочная сестра	ребенок (женщина), вскормленный чужой матерью по отношению к ее детям
Молочный брат	ребенок (мужчина), вскормленный чужой матерью по отношению к ее детям
Невестка	жена брата или жена сына, а также жена одного брата по отношению к жене другого брата
Незаконнорожденный	рожденный от родителей, не состоящих в церковном браке
Однородный (единокровный)	происходящий от одного отца
Одноутробный (единоутробный)	происходящий от одной матери
Отец	мужчина по отношению к своим детям
Отец крестный	восприемник при обряде крещения
Отец названный	отец приемышу, воспитаннику
Отец прибеседный, посаженный, ряженый	мужчина, заменяющий на свадьбе родного отца жениха
Отчим	неродной отец, другой муж матери по отношению к ее детям от прежнего брака
Отценачальник	старший в поколении
Отчинник, отчич	сын, наследник
Падчерица	неродная дочь одного из супругов
Племянник	сын брата или сестры
Племянница	дочь брата или сестры
Племяш	родич, родственник
Побочный (сын, дочь)	сын или дочь, происходящие не от законного брака
Поколение	родственники одной степени родства по отношению к общему предку
Полнородный	происходящий от одних родителей
Правнучатая двоюродная племянница	правнучка двоюродного брата или сестры
Правнучатая племянница	правнучка брата или сестры
Правнучатая троюродная племянница	правнучка троюродного брата или сестры
Правнучатый двоюродный племянник	правнук двоюродного брата или сестры
Правнучатый племянник	правнук брата или сестры
Правнучатый троюродный племянник	правнук троюродного брата или сестры
Пращур	родитель прапрадеда, прапрабабки
Привенчанный	происходящий от одних родителей, но до брака рожденный, а затем в нем признанный
Родоначальник	первый известный представитель рода, от которого он ведет начало
Родословие	то же, что генеалогия
Родословная	перечень поколений одного рода, устанавливающий происхождение и степени родства
Родственник	тот, кто находится в родстве с кем-нибудь
Родство	отношение между людьми, создаваемое наличием общих ближайших родственников
Сват (м.), сватья (ж.)	родитель одного из супругов по отношению к родителям другого супруга
Свекор	отец мужа
Свекровь	мать мужа
Сводные	братья и сестры, происходящие от разных родителей
Сводные дети	дети, приходящиеся друг другу братьями или сестрами по отчиму или мачехе
Свойственник	человек, который состоит в свойстве с кем-нибудь
Свойство	отношение близости между людьми, возникающее не по родству, а из брачного союза (отношения между супругом и кровными родственниками другого супруга, а также между родственниками супругов)
Свояк	муж свояченицы (сестры жены)
Свояки	лица, женатые на двух сестрах
Свояченица	сестра жены
Семиюродный	являющийся родственником в седьмом колене (по прапрапрапрапрадеду)
Сестра	дочь тех же родителей или одного из них по отношению к другим их детям
Сестренка, сестрина, сестрична, сестричка	двоюродная сестра
Сестренница	двоюродная сестра, дочь сестры матери или отца
Сестрич, сестренич, сестричищ (др. рус.)	сын сестры матери (племянник по сестре)
Сноха	жена сына по отношению к его родителям, невестка
Сношенница	жена деверя, жены двух братьев по отношению друг к другу
Сын крестный (крестник)	лицо мужского пола по отношению к восприемнику
Сын названный	приемыш, воспитанник
Тесть	отец жены
Тетя, тетка	сестра отца или матери, а также жена дяди
Теща	мать жены
Удочеренная	лицо женского пола по отношению к приемным родителям
Усыновленный	лицо мужского пола по отношению к приемным родителям
Шурин	брат жены
Шурич	сын шурина (брата жены)
Ятров (ятровка)	жена деверя (брата мужа)
сын крестного отца	Брат крестный
лица, обменявшиеся нательными крестами	Брат крестовый, брат по кресту, брат названый
жена двоюродного брата	Братаниха
дочь брата, племянница по брату	Братанна, братанина, сыновица
родственница двоюродная или дальняя	Брательница
жена брата	Братова
сын брата, племянник по брату	Братыч
сестра деда или бабки (двоюродная бабка)	Великая тетка
брат деда или бабки	Великий дядя
сын/дочь племянника или племянницы	Внук/Внучка
внучка двоюродного брата или сестры	Внучатая двоюродная племянница
внучка брата или сестры (троюродная племянница)	Внучатая племянница
являющийся родственником в третьем колене, троюродный	Внучатный, внучатый
троюродные братья и сестры	Внучатые братья и сестры
внук двоюродного брата или сестры	Внучатый двоюродный племянник
внук брата или сестры	Внучатый племянник
внук троюродного брата или сестры (троюродный племянник)	Внучатый троюродный племянник
(n-1)-юродная сестра бабушки или деда	(n)-юродная бабушка
(n-1)-юродная сестра прабабушки или прадеда	(n)-юродная прабабушка
(n-1)-юродная сестра прапрабабушки или прапрадеда	(n)-юродная прапрабабушка
дочь (n)-юродного брата или сестры	(n)-юродная племянница
дочь (n)-юродного дяди или тетки	(n)-юродная сестра
(n)-юродная сестра отца или матери	(n)-юродная тетка
состоящий в родстве в (n) колене	(n)-юродная
сын (n-1)-юродного дяди или тетки	(n)-юродный брат
(n-1)-юродный брат деда или бабушки	(n)-юродный дед
(n)-юродный брат отца или матери	(n)-юродный дядя
сын (n)-юродного брата или сестры	(n)-юродный племянник
(n-1)-юродный брат прадеда или прабабушки	(n)-юродный прадед
(n-1)-юродный брат прапрадеда или прапрабабушки	(n)-юродный прапрадед
брат мужа	Деверь
отец отца или матери	Дед (дедушка)
отец крестного отца	Дед крестный
тетка по дяде	Дедина, дедка
прямой наследник по деду	Дедич
приемыш, воспитанница	Дочь названая
человек, ухаживающий за ребенком	Дядька
брат отца или матери, а также муж тетки	Дядя
Единокровные дети (однородного отца, но разных матерей)	Единокровные дети (однородные)
дети, рожденные одной матерью, но от разных отцов	Единоутробные дети (одноутробные)
рожденный той же матерью, но от другого отца	Единоутробный
женщина по отношению к мужчине, с которым она состоит в браке	Жена
невенченная четвертая жена	Женима, женища
сговоривший себе невесту	Жених
сестра мужа, иногда жена брата	Золовка, золовища, золова
муж дочери, сестры	Зять
разветвление рода, поколение в родословной	Колено
участница обряда крещения в роли духовной матери	Крестная мать
крестный сын	Крестник
крестная дочь	Крестница
участник обряда крещения в роли духовного отца	Крестный отец
происхождение от одних родителей	Кровное родство
о родстве в пределах одной семьи	Кровный
двоюродный брат	Кузен
двоюродная сестра	Кузина
крестный отец по отношению к родителям крестника и к крестной матери	Кум
крестная мать по отношению к родителям крестника и к крестному отцу	Кума
сестра отца или матери (двоюродная тетка)	Малая тетка
брат отца или матери	Малый дядя
женщина по отношению к своим детям	Мать
восприемница при обряде крещения	Мать крестная, крестовая
мать приемышу, воспитаннику	Мать названая
мамка, кормилица	Мать молочная
женщина, заменяющая на свадьбе родную мать жениха	Мать посаженная
неродная мать, другая жена отца по отношению к его детям от прежнего брака	Мачеха
ребенок (женщина), вскормленный чужой матерью по отношению к ее детям	Молочная сестра
ребенок (мужчина), вскормленный чужой матерью по отношению к ее детям	Молочный брат
жена брата или жена сына, а также жена одного брата по отношению к жене другого брата	Невестка
рожденный от родителей, не состоящих в церковном браке	Незаконнорожденный
происходящий от одного отца	Однородный (единокровный)
происходящий от одной матери	Одноутробный (единоутробный)
мужчина по отношению к своим детям	Отец
восприемник при обряде крещения	Отец крестный
отец приемышу, воспитаннику	Отец названный
мужчина, заменяющий на свадьбе родного отца жениха	Отец прибеседный, посаженный, ряженый
неродной отец, другой муж матери по отношению к ее детям от прежнего брака	Отчим
старший в поколении	Отценачальник
сын, наследник	Отчинник, отчич
неродная дочь одного из супругов	Падчерица
сын брата или сестры	Племянник
дочь брата или сестры	Племянница
родич, родственник	Племяш
сын или дочь, происходящие не от законного брака	Побочный (сын, дочь)
родственники одной степени родства по отношению к общему предку	Поколение
происходящий от одних родителей	Полнородный
правнучка двоюродного брата или сестры	Правнучатая двоюродная племянница
правнучка брата или сестры	Правнучатая племянница
правнучка троюродного брата или сестры	Правнучатая троюродная племянница
правнук двоюродного брата или сестры	Правнучатый двоюродный племянник
правнук брата или сестры	Правнучатый племянник
правнук троюродного брата или сестры	Правнучатый троюродный племянник
родитель прапрадеда, прапрабабки	Пращур
происходящий от одних родителей, но до брака рожденный, а затем в нем признанный	Привенчанный
первый известный представитель рода, от которого он ведет начало	Родоначальник
то же, что генеалогия	Родословие
перечень поколений одного рода, устанавливающий происхождение и степени родства	Родословная
тот, кто находится в родстве с кем-нибудь	Родственник
отношение между людьми, создаваемое наличием общих ближайших родственников	Родство
родитель одного из супругов по отношению к родителям другого супруга	Сват (м.), сватья (ж.)
отец мужа	Свекор
мать мужа	Свекровь
братья и сестры, происходящие от разных родителей	Сводные
дети, приходящиеся друг другу братьями или сестрами по отчиму или мачехе	Сводные дети
человек, который состоит в свойстве с кем-нибудь	Свойственник
отношение близости между людьми, возникающее не по родству, а из брачного союза (отношения между супругом и кровными родственниками другого супруга, а также между родственниками супругов)	Свойство
муж свояченицы (сестры жены)	Свояк
лица, женатые на двух сестрах	Свояки
сестра жены	Свояченица
являющийся родственником в седьмом колене (по прапрапрапрапрадеду)	Семиюродный
дочь тех же родителей или одного из них по отношению к другим их детям	Сестра
двоюродная сестра, дочь сестры матери или отца	Сестренница
сын сестры матери (племянник по сестре)	Сестрич, сестренич, сестричищ (др. рус.)
жена сына по отношению к его родителям, невестка	Сноха
жена деверя, жены двух братьев по отношению друг к другу	Сношенница
лицо мужского пола по отношению к восприемнику	Сын крестный (крестник)
приемыш, воспитанник	Сын названный
отец жены	Тесть
сестра отца или матери, а также жена дяди	Тетя, тетка
мать жены	Теща
лицо женского пола по отношению к приемным родителям	Удочеренная
лицо мужского пола по отношению к приемным родителям	Усыновленный
брат жены	Шурин
сын шурина (брата жены)	Шурич
жена деверя (брата мужа)	Ятров (ятровка)
